location,x_minutes,y_minutes,x_miles,y_miles
Harvard University,0.07161348678189913,0.5074715656559983,0.35531477900005287,-0.20033421840452256
Russell House Tavern,0.5137819826908827,-0.7423396283047112,-0.7407507547032638,-0.20634485943185235
Nine Tastes,0.3141622998028188,-0.567069091984855,-0.6564005359116015,-0.08164208199920354
The Sinclair,-0.40658354207806763,-0.5946181335160624,-0.6366958129327923,0.4131382434203606
IHOP,0.06990793230290163,-0.6845722892575309,-0.697700408040345,0.07023277391085543
Henrietta's Table,-0.10903782695493479,-0.7775969393117524,-0.8262541051598238,0.24385486826200803
Grafton Street Pub & Grill,0.8657602810947485,0.3696734232992098,-0.005288524203364524,0.6386518181137419
The Kirkland Tap & Trotter,0.09535252751009367,0.838940428188367,0.5801409700362621,-0.7505305312007617
Border Cafe,-0.3119536468411706,-0.8899142013388619,-0.6774817717902821,0.22157013036983841
John Harvard's Brewery & Ale House,0.9809060953330109,0.1076944492297584,0.20234332098681335,0.5806033249946982
Tampopo,-1.12160806859579,1.1014114173062315,1.8895142816102968,-0.33646203298366145
Harvest,-0.009819802089926817,-0.9575982782251127,-0.7729011697362285,0.1180369186710071
Cambridge Common,-0.5131425976223952,1.112849763238014,1.1724758000061983,0.10520550978995431
Bergamot,0.009467485385050468,0.9990976748109834,0.7009768370106375,-0.7384841933474738
Crema Cafe,-0.476503118847296,-0.6518654883662566,-0.6736121337473862,0.4412404577400919
Dali,0.1311431917288623,0.8959954369725265,0.6192174589694318,-0.7277002833534003
Sapporo Ramen,-0.9965092240954445,1.149585597951428,1.8554273357803104,-0.16414066124424265
Grendel's Den Restaurant & Bar,0.39930212265686443,-0.6206703383972318,-0.7078087748159857,-0.10605920035931893
Mr. Bartley's Burger Cottage,0.6690320003065393,0.3236714074292138,0.008695506227831058,0.42700068684953074
Nubar,-0.2012125410297446,-0.048819990807112065,-0.17608203845679676,-0.02041109114890072
Charlie's Kitchen,0.02594096256109819,-0.8713267845722436,-0.8131302601299625,0.07257442135125088
